DEBUG 2026-01-27 00:21:44,336 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/urllib3/_base_connection.py first seen with mtime 1769460188.666749
DEBUG 2026-01-27 00:21:44,336 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/django/db/models/expressions.py first seen with mtime 1769459622.8871114
DEBUG 2026-01-27 00:21:44,337 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/django/middleware/clickjacking.py first seen with mtime 1769459622.9928336
DEBUG 2026-01-27 00:21:44,337 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/zipfile/_path/__init__.py first seen with mtime 1696254876.0
DEBUG 2026-01-27 00:21:44,337 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/django/db/models/sql/constants.py first seen with mtime 1769459622.9073212
DEBUG 2026-01-27 00:21:44,337 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/django/contrib/staticfiles/__init__.py first seen with mtime 1769459622.7696545
DEBUG 2026-01-27 00:21:44,337 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/django/template/engine.py first seen with mtime 1769459623.009977
DEBUG 2026-01-27 00:21:44,337 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/sqlparse/__init__.py first seen with mtime 1769459618.506369
DEBUG 2026-01-27 00:21:44,337 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/django/template/loaders/app_directories.py first seen with mtime 1769459623.0269077
DEBUG 2026-01-27 00:21:44,337 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/django/views/generic/__init__.py first seen with mtime 1769459623.110373
DEBUG 2026-01-27 00:21:44,338 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/django/contrib/messages/utils.py first seen with mtime 1769459622.1715863
DEBUG 2026-01-27 00:21:44,338 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/allauth/socialaccount/providers/oauth2/client.py first seen with mtime 1769459714.577953
DEBUG 2026-01-27 00:21:44,338 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/jwt/api_jws.py first seen with mtime 1769460262.185341
DEBUG 2026-01-27 00:21:44,338 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/django/contrib/messages/storage/base.py first seen with mtime 1769459622.1732707
DEBUG 2026-01-27 00:21:44,338 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/lib-dynload/_blake2.cpython-312-darwin.so first seen with mtime 1696255160.0
DEBUG 2026-01-27 00:21:44,338 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/allauth/account/models.py first seen with mtime 1769459714.268031
DEBUG 2026-01-27 00:21:44,338 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/django/utils/translation/trans_real.py first seen with mtime 1769459623.0936425
DEBUG 2026-01-27 00:21:44,338 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/urllib3/connection.py first seen with mtime 1769460188.670339
DEBUG 2026-01-27 00:21:44,339 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/django/contrib/auth/views.py first seen with mtime 1769459620.7166102
DEBUG 2026-01-27 00:21:44,339 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/lib-dynload/_queue.cpython-312-darwin.so first seen with mtime 1696255163.0
DEBUG 2026-01-27 00:21:44,339 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/django/core/cache/utils.py first seen with mtime 1769459622.7843823
DEBUG 2026-01-27 00:21:44,339 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/django/views/defaults.py first seen with mtime 1769459623.0972095
DEBUG 2026-01-27 00:21:44,339 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/django/contrib/contenttypes/views.py first seen with mtime 1769459620.8763993
DEBUG 2026-01-27 00:21:44,339 autoreload File /Users/branko/Desktop/barter_app/barter_app/urls.py first seen with mtime 1769455369.3247795
DEBUG 2026-01-27 00:21:44,340 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/django/http/__init__.py first seen with mtime 1769459622.9853187
